声母,国际音标(IPA),发音部位,发音方法,备注
b,[p],上唇下唇,不送气清塞音,
p,[pʰ],上唇下唇,送气清塞音,
f,[f],上唇下齿,清擦音,
m,[m],上唇下唇,鼻音,
d,[t],齿龈舌尖,不送气清塞音,
t,[tʰ],齿龈舌尖,送气清塞音,
l,[l],齿龈舌尖,边音,
n,[n],齿龈舌尖,鼻音,
g,[k],软腭舌根,不送气清塞音,
k,[kʰ],软腭舌根,送气清塞音,
h,[x],软腭舌根,清擦音,
ŋ,"[ŋ], [ɣ], [ʔ]","软腭舌根, 喉","鼻音, 浊擦音, 喉音",零声母
z,[ʦ],齿背舌尖,不送气清塞擦音,
c,[ʦʰ],齿背舌尖,送气清塞擦音,
s,[s],齿背舌尖,清擦音,
ɹ,"[ɹ], [z]",齿背舌尖,浊擦音,在译音中存在
zh,[ʈʂ],龈后舌尖,不送气清塞擦音,卷舌音
ch,[ʈʂʰ],龈后舌尖,送气清塞擦音,卷舌音
sh,[ʂ],龈后舌尖,清擦音,卷舌音
r,"[ɻ], [ʐ]",龈后舌尖,浊擦音,卷舌音
j,[ʨ],硬腭舌面,不送气清塞擦音,
q,[ʨʰ],硬腭舌面,送气清塞擦音,
x,[ɕ],硬腭舌面,清擦音,
y,[j],硬腭舌面,展唇近音,零声母
w,"[w],[ʋ]","双唇,唇齿","近音,浊擦音",零声母
ɥ,[ɥ],硬腭舌面,圆唇近音,零声母

